"filename","AB","AF","AU","BP","C1","CC","CH","CL","CR","CT","CY","DE","DI","DT","EM","EP","FN","FU","FX","GA","GE","ID","IS","J9","JI","LA","LT","MC","MI","NR","PA","PD","PG","PI","PN","PS","PT","PU","PY","RI","RID","OI","PM","RP","SC","SI","SN","SO","SU","TA","TC","TI","UT","VR","VL","WC","Z9","refID"
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Kelly, CK
Smith, HB
Buckley, YM
Carter, R
Franco, M
Johnson, W
Jones, T
May, B
Ishiwara, RP
Perez-Jimenez, A
Magallanes, AS
Steers, H
Waterman, C
","Kelly, CK
Smith, HB
Buckley, YM
Carter, R
Franco, M
Johnson, W
Jones, T
May, B
Ishiwara, RP
Perez-Jimenez, A
Magallanes, AS
Steers, H
Waterman, C
","618
","Univ Oxford, Dept Zool, Oxford OX1 3PS, England.
Univ Nacl Autonoma Mexico, Inst Ecol, Mexico City 04510, DF, Mexico.
Univ London Imperial Coll Sci Technol & Med, Dept Biol, Ascot SL5 7PY, Berks, England.
Univ Nacl Autonoma Mexico, Dept Bot, Mexico City 04510, DF, Mexico.
Ctr Univ Costa Sur Autlan, IMECBIO, Autlan De Navarro, Jalisco, Mexico.
",NA,NA,NA,NA,NA,NA,NA,"10.1046/j.1461-0248.2001.00278.x
",NA,NA,"627
","ISI Export Format
",NA,NA,NA,NA,NA,"6
",NA,NA,NA,NA,NA,NA,NA,NA,"NOV
",NA,NA,NA,NA,"J
",NA,"2001
","A-4671-2008",NA,NA,NA,"Kelly, CK (reprint author), Univ Southampton, Sch Biol Sci, Div Biodivers & Ecol, Southampton SO16 7PX, Hants, England
",NA,NA,"1461-023X
","ECOLOGY LETTERS
",NA,NA,"13
","Investigations in commonness and rarity: a comparative analysis of
co-occurring, congeneric Mexican trees
","WOS:000172341500015
","1.0
","4
",NA,"15
",11
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Donovan, LA
Linton, MJ
Richards, JH
","Donovan, LA
Linton, MJ
Richards, JH
","328
","Univ Georgia, Dept Bot, Athens, GA 30602 USA.
Eastern New Mexico Univ, Dept Biol, Portales, NM 88130 USA.
Univ Calif Davis, Dept Land Air & Water Resources, Davis, CA 95616 USA.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"335
","ISI Export Format
",NA,NA,NA,NA,NA,"3
",NA,NA,NA,NA,NA,NA,NA,NA,"NOV
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Donovan, LA (reprint author), Univ Georgia, Dept Bot, Athens, GA 30602 USA
",NA,NA,"0029-8549
","OECOLOGIA
",NA,NA,"75
","Predawn plant water potential does not necessarily equilibrate with soil
water potential under well-watered conditions
","WOS:000172418100002
","1.0
","129
",NA,"80
",12
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Eastman, JL
Coughenour, MB
Pielke, RA
","Eastman, JL
Coughenour, MB
Pielke, RA
","797
","Colorado State Univ, Dept Atmospher Sci, Ft Collins, CO 80523 USA.
Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA.
Colorado State Univ, Nat Resources Ecol Lab, Ft Collins, CO 80523 USA.
",NA,NA,NA,NA,NA,NA,NA,"10.1046/j.1354-1013.2001.00411.x
",NA,NA,"815
","ISI Export Format
",NA,NA,NA,NA,NA,"7
",NA,NA,NA,NA,NA,NA,NA,NA,"OCT
",NA,NA,NA,NA,"J
",NA,"2001
","A-5015-2009",NA,NA,NA,"Eastman, JL (reprint author), Colorado State Univ, Dept Atmospher Sci, Ft Collins, CO 80523 USA
",NA,NA,"1354-1013
","GLOBAL CHANGE BIOLOGY
",NA,NA,"57
","The regional effects of CO2 and landscape change using a coupled plant
and meteorological model
","WOS:000172097300006
","1.0
","7
",NA,"58
",13
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Young, BE
Lips, KR
Reaser, JK
Ibanez, R
Salas, AW
Cedeno, JR
Coloma, LA
Ron, S
La Marca, E
Meyer, JR
Munoz, A
Bolanos, F
Chaves, G
Romo, D
","Young, BE
Lips, KR
Reaser, JK
Ibanez, R
Salas, AW
Cedeno, JR
Coloma, LA
Ron, S
La Marca, E
Meyer, JR
Munoz, A
Bolanos, F
Chaves, G
Romo, D
","1213
","Assoc Biodivers Informat, Arlington, VA 22209 USA.
So Illinois Univ, Dept Zool, Carbondale, IL 62901 USA.
US Dept State, Off Ecol & Terr Conservat, Washington, DC 20520 USA.
Smithsonian Trop Res Inst, Balboa, Panama.
Univ Ricardo Palma, Museo Hist Nat, Lima 33, Peru.
El Colegio Frontera Sur, Chetumal, Quintana Roo, Mexico.
Pontificia Univ Catolica Ecuador, Museo Zool, Quito, Ecuador.
Univ Los Andes, Fac Ciencias Forestales & Ambientales, Lab Biogeog, Merida 5101A, Venezuela.
Navajo Nat Heritage Program, Window Rock, AZ 86515 USA.
El Colegio Frontera Sur, Chiapas, Mexico.
Univ Costa Rica, Escuela Biol, San Pedro, Costa Rica.
Univ San Francisco Quito, Colegio Ciencias Ambientales, Quito, Ecuador.
",NA,NA,NA,NA,NA,NA,NA,"10.1046/j.1523-1739.2001.00218.x
",NA,NA,"1223
","ISI Export Format
",NA,NA,NA,NA,NA,"5
",NA,NA,NA,NA,NA,NA,NA,NA,"OCT
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Young, BE (reprint author), Assoc Biodivers Informat, 1101 Wilson Blvd, Arlington, VA 22209 USA
",NA,NA,"0888-8892
","CONSERVATION BIOLOGY
",NA,NA,"115
","Population declines and priorities for amphibian conservation in Latin
America
","WOS:000171501100004
","1.0
","15
",NA,"127
",14
"./data/WOS2011/Mexico_1501-1592.txt",NA,"De Silva, HG
Medellin, RA
","De Silva, HG
Medellin, RA
","1384
","Univ Nacl Autonoma Mexico, Inst Ecol, Mexico City 04510, DF, Mexico.
",NA,NA,NA,NA,NA,NA,NA,"10.1046/j.1523-1739.2001.00177.x
",NA,"medellin@miranda.ecologia.unam.mx
","1395
","ISI Export Format
",NA,NA,NA,NA,NA,"5
",NA,NA,NA,NA,NA,NA,NA,NA,"OCT
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Medellin, RA (reprint author), Univ Nacl Autonoma Mexico, Inst Ecol, Apartado Postal 70-275, Mexico City 04510, DF, Mexico
",NA,NA,"0888-8892
","CONSERVATION BIOLOGY
",NA,NA,"10
","Evaluating completeness of species lists for conservation and
macroecology: a case study of Mexican land birds
","WOS:000171501100022
","1.0
","15
",NA,"13
",15
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Peterson, AT
Sanchez-Cordero, V
Soberon, J
Bartley, J
Buddemeier, RW
Navarro-Siguenza, AG
","Peterson, AT
Sanchez-Cordero, V
Soberon, J
Bartley, J
Buddemeier, RW
Navarro-Siguenza, AG
","21
","Univ Kansas, Museum Nat Hist, Lawrence, KS 66045 USA.
Univ Kansas, Biodivers Res Ctr, Lawrence, KS 66045 USA.
Univ Nacl Autonoma Mexico, Inst Biol, Dept Zool, Mexico City 04510, DF, Mexico.
Univ Nacl Autonoma Mexico, Inst Ecol, Mexico City 04510, DF, Mexico.
Univ Kansas, Kansas Geol Survey, Lawrence, KS 66047 USA.
Univ Nacl Autonoma Mexico, Fac Ciencias, Mexico City 04510, DF, Mexico.
",NA,NA,NA,NA,NA,NA,NA,"10.1016/S0304-3800(01)00345-3
",NA,NA,"30
","ISI Export Format
",NA,NA,NA,NA,NA,"1
",NA,NA,NA,NA,NA,NA,NA,NA,"OCT 1
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Peterson, AT (reprint author), Univ Kansas, Museum Nat Hist, Lawrence, KS 66045 USA
",NA,NA,"0304-3800
","ECOLOGICAL MODELLING
",NA,NA,"85
","Effects of global climate change on geographic distributions of Mexican
Cracidae
","WOS:000171862900003
","1.0
","144
",NA,"91
",16
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Ebbert, MA
Jeffers, DP
Harrison, NA
Nault, LR
","Ebbert, MA
Jeffers, DP
Harrison, NA
Nault, LR
","49
","Miami Univ, Dept Zool, Oxford, OH 45056 USA.
Int Maize & Wheat Improvement Ctr, Maize Program, El Batan, DF, Mexico.
Univ Florida, Ft Lauderdale Res & Educ Ctr, Ft Lauderdale, FL 33314 USA.
Ohio State Univ, Ohio Agr Res & Dev Ctr, Dept Entomol, Wooster, OH 44691 USA.
",NA,NA,NA,NA,NA,NA,NA,"10.1046/j.1570-7458.2001.00890.x
",NA,NA,"57
","ISI Export Format
",NA,NA,NA,NA,NA,"1
",NA,NA,NA,NA,NA,NA,NA,NA,"OCT
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Ebbert, MA (reprint author), Miami Univ, Dept Zool, Oxford, OH 45056 USA
",NA,NA,"0013-8703
","ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA
",NA,NA,"4
","Lack of specificity in the interaction between two maize stunting
pathogens and field collected Dalbulus leafhoppers
","WOS:000173380700007
","1.0
","101
",NA,"5
",17
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Mittelbach, GG
Steiner, CF
Scheiner, SM
Gross, KL
Reynolds, HL
Waide, RB
Willig, MR
Dodson, SI
Gough, L
","Mittelbach, GG
Steiner, CF
Scheiner, SM
Gross, KL
Reynolds, HL
Waide, RB
Willig, MR
Dodson, SI
Gough, L
","2381
","Wk Kellogg Biol Stn, Hickory Corners, MI 49060 USA.
Michigan State Univ, Dept Zool, E Lansing, MI 48824 USA.
Michigan State Univ, Dept Bot & Plant Pathol, E Lansing, MI 48824 USA.
Natl Sci Fdn, Div Environm Biol, Arlington, VA 22230 USA.
Indiana Univ, Dept Biol, Bloomington, IN 47405 USA.
Univ New Mexico, LTER Network Off, Albuquerque, NM 87106 USA.
Texas Tech Univ, Dept Biol Sci, Program Ecol, Lubbock, TX 79409 USA.
Univ Wisconsin, Dept Zool, Madison, WI 53706 USA.
Univ Alabama, Dept Biol Sci, Tuscaloosa, AL 35487 USA.
",NA,NA,NA,NA,NA,NA,NA,"10.1890/0012-9658(2001)082[2381:WITORB]2.0.CO;2
",NA,NA,"2396
","ISI Export Format
",NA,NA,NA,NA,NA,"9
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,NA,NA,"J
",NA,"2001
","F-5304-2010",NA,NA,NA,"Mittelbach, GG (reprint author), Wk Kellogg Biol Stn, Hickory Corners, MI 49060 USA
",NA,NA,"0012-9658
","ECOLOGY
",NA,NA,"521
","What is the observed relationship between species richness and
productivity?
","WOS:000171049100001
","1.0
","82
",NA,"549
",18
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Bardwell, E
Benkman, CW
Gould, WR
","Bardwell, E
Benkman, CW
Gould, WR
","2617
","New Mexico State Univ, Dept Biol, Las Cruces, NM 88003 USA.
New Mexico State Univ, Dept Econ, Ctr Stat, Las Cruces, NM 88003 USA.
",NA,NA,NA,NA,NA,NA,NA,"10.1890/0012-9658(2001)082[2617:AGVIWS]2.0.CO;2
",NA,NA,"2627
","ISI Export Format
",NA,NA,NA,NA,NA,"9
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Benkman, CW (reprint author), New Mexico State Univ, Dept Biol, Las Cruces, NM 88003 USA
",NA,NA,"0012-9658
","ECOLOGY
",NA,NA,"11
","Adaptive geographic variation in Western Scrub-Jays
","WOS:000171049100019
","1.0
","82
",NA,"12
",19
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Kodric-Brown, A
Nicoletto, PF
","Kodric-Brown, A
Nicoletto, PF
","346
","Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA.
Lamar Univ, Dept Biol, Beaumont, TX 77710 USA.
",NA,NA,NA,NA,NA,NA,NA,"10.1007/s002650100374
",NA,NA,"351
","ISI Export Format
",NA,NA,NA,NA,NA,"4
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Kodric-Brown, A (reprint author), Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA
",NA,NA,"0340-5443
","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY
",NA,NA,"47
","Female choice in the guppy (Poecilia reticulata): the interaction
between male color and display
","WOS:000171246300007
","1.0
","50
",NA,"48
",20
"./data/WOS2011/Mexico_1501-1592.txt",NA,"de Buen, LL
Ornelas, JF
","de Buen, LL
Ornelas, JF
","487
","Inst Ecol AC, Dept Ecol & Comportamiento Anim, Xalapa 91000, Veracruz, Mexico.
",NA,NA,NA,NA,NA,NA,NA,"10.1646/0006-3606(2001)033[0487:SDOTMP]2.0.CO;2
",NA,NA,"494
","ISI Export Format
",NA,NA,NA,NA,NA,"3
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Ornelas, JF (reprint author), Inst Ecol AC, Dept Ecol & Comportamiento Anim, Km 2-5 Antigua Carretera & Coatepec,Apdo Postal 6, Xalapa 91000, Veracruz, Mexico, Mexico
",NA,NA,"0006-3606
","BIOTROPICA
",NA,NA,"7
","Seed dispersal of the mistletoe Psittacanthus schiedeanus by birds in
Central Veracruz, Mexico
","WOS:000171709800011
","1.0
","33
",NA,"9
",21
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Herrera, LG
Hobson, KA
Manzo, A
Estrada, D
Sanchez-Cordero, V
Mendez, G
","Herrera, LG
Hobson, KA
Manzo, A
Estrada, D
Sanchez-Cordero, V
Mendez, G
","520
","Univ Nacl Autonoma Mexico, Inst Biol, Mexico City 04510, DF, Mexico.
Univ Saskatchewan, Dept Biol, Saskatoon, SK S7N 0W0, Canada.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1744-7429.2001.tb00206.x
",NA,NA,"528
","ISI Export Format
",NA,NA,NA,NA,NA,"3
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Herrera, LG (reprint author), Univ Nacl Autonoma Mexico, Inst Biol, Apartado Postal 70-153, Mexico City 04510, DF, Mexico
",NA,NA,"0006-3606
","BIOTROPICA
",NA,NA,"26
","The role of fruits and insects in the nutrition of frugivorous bats:
Evaluating the use of stable isotope models
","WOS:000171709800015
","1.0
","33
",NA,"26
",22
"./data/WOS2011/Mexico_1501-1592.txt",NA,"Malo, JE
Leirana-Alcocer, J
Parra-Tabla, V
","Malo, JE
Leirana-Alcocer, J
Parra-Tabla, V
","529
","Univ Autonoma Yucatan, Dept Ecol, Fac Med Vet & Zootecn, Merida 97000, Yucatan, Mexico.
",NA,NA,NA,NA,NA,NA,NA,"10.1111/j.1744-7429.2001.tb00207.x
",NA,NA,"534
","ISI Export Format
",NA,NA,NA,NA,NA,"3
",NA,NA,NA,NA,NA,NA,NA,NA,"SEP
",NA,NA,NA,NA,"J
",NA,"2001
",NA,NA,NA,NA,"Malo, JE (reprint author), Univ Autonoma Yucatan, Dept Ecol, Fac Med Vet & Zootecn, Apartado 281, Merida 97000, Yucatan, Mexico
",NA,NA,"0006-3606
","BIOTROPICA
",NA,NA,"21
","Population fragmentation, florivory, and the effects of flower
morphology alterations on the pollination success of Myrmecophila
tibicinis (Orchidaceae)
","WOS:000171709800016
","1.0
","33
",NA,"22
",23
